_id,pin,block_lot,filing_date,case_id,municipality,ward,docket_type,amount,plaintiff
70,0652L00054000000,652L54,2009-01-09,GD-09-000610,Elizabeth Township,,Affidavit,104979.01,Wells Fargo Bank Minnesota N.A.
71,0136E00244000000,136E244,2009-01-09,GD-09-000611,Baldwin Boro,,Sheriff Return,85312.51,Wells Fargo Bank N.A.
72,0062E00322000000,62E322,2009-01-09,GD-09-000613,Dormont Boro,,Certificate-Recorder of Deeds,69103.6,Deutsche Bank National Trust Company
73,0065D00055000000,65D55,2009-01-09,GD-09-000614,Carnegie Boro,,Settled and Discontinued,162737.2,HSBC Bank USA N.A.
74,0083M00376000000,83M376,2009-01-09,GD-09-000615,Pittsburgh,11,Sheriff Return,16134.76,U.S. Bank N.A. as Trustee
75,0232D00029000000,232D29,2009-01-09,GD-09-000616,Pittsburgh,13,Settled and Discontinued,35930.62,JPMorgan Chase Bank N.A.
76,0081H00097000000,81H97,2009-01-09,GD-09-000618,Pittsburgh,10,Sheriff Return,62259.57,Deutsche Bank National Trust Company
77,0704B00025000000,704B25,2009-01-09,GD-09-000624,Leetsdale Boro,,Affidavit of Service,66309.72,Bank of New York Mellon
78,0115S00100000000,115S100,2009-01-09,GD-09-000625,Pittsburgh,24,Sheriff Return,5054.98,Washington Federal Savings Bank
79,0421A00290000000,421A290,2009-01-09,GD-09-000627,Sewickley Boro,,Sheriff Return,665856.94,Aurora Loan Services LLC
80,1361A00095000000,1361A95,2009-01-09,GD-09-000628,West Deer Township,,Case Terminated,179371.22,Nationstar Mortgage LLC
81,0532F00136000000,532F136,2009-01-09,GD-09-000630,Plum Boro,,Praecipe to Substitute,231461.45,Wells Fargo Bank N.A.
82,1366S00356000000,1366S356,2009-01-09,GD-09-000662,Brackenridge Boro,,Correction to Judgment Index,27345.25,HSBC Bank USA National Association
83,0418R00220000000,418R220,2009-01-09,GD-09-000666,Moon Township,,Sheriff Return,0.0,Chase Home Finance
84,0068D00034000000,68D34,2009-01-09,GD-09-000668,Crafton Boro,,Sheriff Return,141818.88,Bank of New York Mellon Trust Company N.A.
85,0521K00056000000,521K56,2009-01-09,GD-09-000669,Shaler Township,,Case Terminated,87069.83,U.S. Bank National Association
86,0538N00164000000,538N164,2009-01-09,GD-09-000670,Penn Hills Township,,Certificate-Recorder of Deeds,72919.35,Wells Fargo Bank N.A.
87,0943A00195000000,943A195,2009-01-09,GD-09-000679,McCandless Township,,Correction to Judgment Index,263999.87,JPMorgan Chase Bank National Association
88,0137G00213000000,137G213,2009-01-09,GD-09-000680,Brentwood Boro,,Sheriff Return,119087.73,JPMorgan Chase Bank National Association
89,0137G00211000000,137G211,2009-01-09,GD-09-000680,Brentwood Boro,,Sheriff Return,119087.73,JPMorgan Chase Bank National Association
90,0137L00002000000,137L2,2009-01-09,GD-09-000680,Brentwood Boro,,Sheriff Return,119087.73,JPMorgan Chase Bank National Association
91,0013R00271000000,13R271,2009-01-12,GD-09-000785,Pittsburgh,16,Sheriff Return,34505.19,Citimortgage Inc.
92,0223H00085000000,223H85,2009-01-09,GD-09-000795,O'Hara Township,,Sheriff Return,21621.31,Everhome Mortgage Company
93,0382N00306000000,382N306,2009-01-13,GD-09-000952,Port Vue Boro,,Sheriff Return,38190.03,JP Morgan Chase Bank N.A.
94,0098M00318000000,98M318,2009-01-13,GD-09-000955,Dormont Boro,,Sheriff Return,95608.92,Wells Fargo Bank N.A.
95,0250H00200000000,250H200,2009-01-13,GD-09-000980,Castle Shannon Boro,,Certificate-Recorder of Deeds,103037.04,Countrywide Home Loans Servicing L.P.
96,0250H00200000000,250H200,2009-01-13,GD-09-000980,Castle Shannon Boro,,Certificate-Recorder of Deeds,103037.04,Bac Home Loans Servicing L.P.
97,0236H00120000000,236H120,2009-01-13,GD-09-000981,N. Braddock Boro,,Certificate-Recorder of Deeds,53977.64,Wells Fargo Bank N.A.
98,0233G00201000000,233G201,2009-01-13,GD-09-000982,Wilkinsburg Boro,,Sheriff Return,70527.17,Aurora Loan Services LLC
99,0458F00054000000,458F54,2009-01-14,GD-09-000986,N. Versailles Twp.,,Sheriff Return,0.0,I B Property Holdings LLC
100,1367R00150000000,1367R150,2009-01-14,GD-09-000992,Brackenridge Boro,,Sheriff Return,56715.69,Citifinancial Services Inc.
101,0013P00003000000,13P3,2009-01-14,GD-09-001030,Pittsburgh,16,Correction to Judgment Index,27226.08,Residential Funding Company LLC
102,0297F00033000000,297F33,2009-01-14,GD-09-001111,Wilkinsburg Boro,,Sheriff Return,27388.82,Citimortgage Inc.
103,0035D00293000000,35D293,2009-01-15,GD-09-001113,Pittsburgh,19,Discontinued without Prejudice,52823.97,Deutsche Bank National Trust Company
104,0115C00218000000,115C218,2009-01-15,GD-09-001210,Pittsburgh,26,Certificate-Recorder of Deeds,197957.12,ESB Bank
105,0021N00004000000,21N4,2009-01-15,GD-09-001210,Pittsburgh,20,Certificate-Recorder of Deeds,197957.12,ESB Bank
106,0021K00024000000,21K24,2009-01-15,GD-09-001210,Pittsburgh,20,Certificate-Recorder of Deeds,197957.12,ESB Bank
107,0042S00258000000,42S258,2009-01-15,GD-09-001210,Pittsburgh,20,Certificate-Recorder of Deeds,197957.12,ESB Bank
108,0042S00267000000,42S267,2009-01-15,GD-09-001210,Pittsburgh,20,Certificate-Recorder of Deeds,197957.12,ESB Bank
109,0302B00144000000,302B144,2009-01-15,GD-09-001239,N. Braddock Boro,,Sheriff Return,31774.59,LaSalle Bank N.A.
110,0096N00175000000,96N175,2009-01-16,GD-09-001325,Pittsburgh,19,Sheriff Return,0.0,National City Bank
111,0634A00027000000,634A27,2009-01-19,GD-09-001353,Penn Hills Township,,Correction to Judgment Index,70713.31,Deutsche Bank National Trust Company
112,0019A00176000000,19A176,2009-01-21,GD-09-001409,Pittsburgh,28,Sheriff Return,143935.97,HSBC Mortgage Corporation USA
113,0048A00288000000,48A288,2009-01-21,GD-09-001419,Pittsburgh,24,Default Judgment,985.31,Jelinek Loretta
114,0048A00288000000,48A288,2009-01-21,GD-09-001419,Pittsburgh,24,Default Judgment,985.31,Akers Frank
115,0048A00288000000,48A288,2009-01-21,GD-09-001419,Pittsburgh,24,Default Judgment,985.31,Troy Rental & Rehabilitation
116,0381R00186000000,381R186,2009-01-21,GD-09-001446,City of McKeesport,9,Sheriff Return,40768.56,Citimortgage Inc.
117,0097C00196000000,97C196,2009-01-22,GD-09-001543,Pittsburgh,19,Discontinued without Prejudice,93066.47,Bank of New York Mellon Trust Company National Association
118,0042C00151000000,42C151,2009-01-22,GD-09-001561,Pittsburgh,20,Motion & Order,32543.69,Wachovia Bank of Delaware N.A.
119,0032E00058000000,32E58,2009-01-22,GD-09-001576,Pittsburgh,16,Sheriff Return,27819.74,United American Savings Bank
120,0239F00056000000,239F56,2009-01-22,GD-09-001591,West Mifflin Boro,,Praecipe for Withdrawal,74651.02,Deutsche Bank National Trust Company
121,0176C00166000000,176C166,2009-01-23,GD-09-001593,Wilkinsburg Boro,,Sheriff Return,27631.65,JPMorgan Chase Bank N.A.
122,0232K00335000000,232K335,2009-01-23,GD-09-001594,Wilkinsburg Boro,,Sheriff Return,21966.88,JPMorgan Chase Bank N.A.
123,0653A00276000000,653A276,2009-01-23,GD-09-001595,Versailles Boro,,Order of Court,80491.43,JPMorgan Chase Bank N.A.
124,0178G00168000000,178G168,2009-01-22,GD-09-001596,Swissvale Boro,,Sheriff Return,23977.47,Wells Fargo Financial Pennsylvania Inc.
125,0094E00154000000,94E154,2009-01-22,GD-09-001598,Pittsburgh,29,Motion & Order,54707.83,Huntington National Bank
126,0548B00205000000,548B205,2009-01-22,GD-09-001601,N. Versailles Twp.,,Sheriff Return,137929.17,Wells Fargo Financial Pennsylvania Inc.
127,0374G00294000000,374G294,2009-01-23,GD-09-001620,Chalfant Boro,,Sheriff Return,45979.39,HSBC Bank USA N.A.
128,0235A00312000000,235A312,2009-01-23,GD-09-001622,Swissvale Boro,,Case Terminated,0.0,National Loan Investors L.P.
129,0233E00206000000,233E206,2009-01-23,GD-09-001660,Wilkinsburg Boro,,Satisfaction,132936.9,Huntington National Bank
130,0233E00204000000,233E204,2009-01-23,GD-09-001660,Wilkinsburg Boro,,Satisfaction,132936.9,Huntington National Bank
131,0382C00325000000,382C325,2009-01-23,GD-09-001662,City of McKeesport,7,Satisfaction,86372.24,Huntington National Bank
132,0275M00297000000,275M297,2009-01-23,GD-09-001690,Emsworth Boro,,Discontinued without Prejudice,0.0,HSBC Bank USA National Association
133,0010D00089000000,10D89,2009-01-26,GD-09-001716,Pittsburgh,5,Settled and Discontinued,0.0,HSBC Bank USA National Association
134,0014M00108000000,14M108,2009-01-26,GD-09-001739,Mt. Oliver Boro,,Sheriff Return,31034.96,First National Bank of PA
135,0001C01662000000,1C1662,2009-01-26,GD-09-001744,Pittsburgh,2,Discontinued without Prejudice,297214.56,LaSalle Bank National Association
136,0433G00046000000,433G46,2009-01-27,GD-09-001826,Shaler Township,,Sheriff Return,299711.05,National City Mortgage Company
137,0234N00134000000,234N134,2009-01-27,GD-09-001860,Swissvale Boro,,Sheriff Return,54231.29,Wells Fargo Bank N.A.
138,0418M00274000000,418M274,2009-01-28,GD-09-001899,Moon Township,,Sheriff Return,99662.55,National City Mortgage Company
139,0733F00004000000,733F4,2009-01-28,GD-09-001904,Springdale Boro,,Sheriff Return,40672.55,JPMorgan Chase Bank
140,0188F09798000000,188F9798,2009-01-28,GD-09-001941,Brentwood Boro,,Affidavit of Service,288418.33,IB Property Holdings LLC
141,0222J00267000000,222J267,2009-01-27,GD-09-001952,Etna Boro,,Sheriff Return,92909.92,Chase Home Finance LLC
142,0280G00330000000,280G330,2009-01-27,GD-09-001961,West View Boro,,Praecipe to Substitute,97421.54,Wells Fargo Bank N.A.
143,0048E00197000000,48E197,2009-01-28,GD-09-001987,Pittsburgh,24,Case Terminated,3740.21,Jelinek Lorette C
144,0073R00107000000,73R107,2009-01-29,GD-09-002063,Stowe Township,,Sheriff Return,42662.33,Northwest Savings Bank
145,0137F00264000000,137F264,2009-01-28,GD-09-002081,Brentwood Boro,,Affidavit of Service,80990.72,Wesbanco Bank Inc.
146,0015M00220000000,15M220,2009-01-28,GD-09-002085,Pittsburgh,18,Sheriff Return,55114.16,U.S. Bank National Association
147,1242E00196000000,1242E196,2009-01-29,GD-09-002088,Plum Boro,,Settled and Discontinued,424495.27,IB Property Holdings LLC
148,0233J00260000000,233J260,2009-01-28,GD-09-002094,Wilkinsburg Boro,,Sheriff Return,41780.43,Deutsche Bank National Trust Company
149,0832K00291000000,832K291,2009-01-29,GD-09-002154,Hampton Township,,Discontinued without Prejudice,0.0,Deutsche Bank National Trust Company
150,0024C00116000000,24C116,2009-01-30,GD-09-002168,Pittsburgh,24,Settled and Discontinued,54548.58,HSBC Bank US National Association
151,0049P00120000000,49P120,2009-01-29,GD-09-002176,Pittsburgh,6,Certificate-Recorder of Deeds,110030.04,U.S. Bank National Association
152,0538P00301000000,538P301,2009-01-29,GD-09-002179,Penn Hills Township,,Sheriff Return,84272.68,U.S. Bank National Associaiton as trustee
153,1098N00323000000,1098N323,2009-01-29,GD-09-002187,Plum Boro,,Sheriff Return,58911.6,PHH Mortgage Corporation
154,0305K00320000000,305K320,2009-01-30,GD-09-002208,West Mifflin Boro,,Sheriff Return,0.0,Century Heritage Federal Credit Union
155,0075D00016000000,75D16,2009-02-02,GD-09-002357,Pittsburgh,27,Discontinued without Prejudice,87740.78,First Horizon Home Loans
156,0232J00268000000,232J268,2009-02-03,GD-09-002414,Wilkins Township,,Sheriff Return,68458.35,Bank of America N.A.
157,0228J00210000000,228J210,2009-02-04,GD-09-002418,O'Hara Township,,Satisfaction,20138183.54,Shaner Capital L.P.
158,0228J00210000000,228J210,2009-02-04,GD-09-002418,O'Hara Township,,Satisfaction,20138183.54,Bank of American
159,0072B00151000000,72B151,2009-02-04,GD-09-002427,Stowe Township,,Sheriff Return,22215.87,Countrywide Home Loans Servicing L.P.
160,0180M00030000000,180M30,2009-02-04,GD-09-002434,Whitaker Boro,,Sheriff Return,41263.66,First Commonwealth Bank
161,0329G00020029D00,329G20 29D,2009-02-04,GD-09-002437,Collier Township,,Discontinued without Prejudice,224815.14,Countrywide Home Loans Servicing L.P.
162,0049P00375000000,49P375,2009-02-04,GD-09-002450,Pittsburgh,6,Certificate-Recorder of Deeds,107068.78,Wells Fargo Bank N.A.
163,0054P00132000000,54P132,2009-02-04,GD-09-002453,Pittsburgh,15,Case Terminated,44251.7,Citimortgage Inc.
164,0009N00080000600,9N80 6,2009-02-05,GD-09-002528,Pittsburgh,2,Certificate-Recorder of Deeds,232773.08,National City Bank
165,0009N00080000700,9N80 7,2009-02-05,GD-09-002531,Pittsburgh,2,Sheriff Return,210397.99,National City Bank
166,0051A00156000000,51A156,2009-02-05,GD-09-002556,Pittsburgh,8,Affidavit of Service,482019.45,Wells Fargo Bank N.A.
167,0160J00060000000,160J60,2009-02-05,GD-09-002575,Avalon Boro,,Sheriff Return,31928.71,Citimortgage Inc.
168,0178C00155000000,178C155,2009-02-06,GD-09-002584,Swissvale Boro,,Sheriff Return,51162.37,Bank of New York
169,0879G00044000000,879G44,2009-02-06,GD-09-002591,City of Clairton,2,Sheriff Return,28773.77,National City Bank
170,1134R00050000000,1134R50,2009-02-06,GD-09-002592,Jefferson Hills Boro,,Praecipe to Vacate Judgment,0.0,National City Bank
171,0177P00099000000,177P99,2009-02-09,GD-09-002632,Swissvale Boro,,Sheriff Return,0.0,First Commonwealth Bank
172,0370M00095000000,370M95,2009-02-09,GD-09-002635,Penn Hills Township,,Sheriff Return,74189.84,US Bank N.A.
173,0305S00368000000,305S368,2009-02-09,GD-09-002658,City of Duquesne,3,Sheriff Return,42655.84,Bank of America National Association
174,0942P00059000000,942P59,2009-02-10,GD-09-002678,Franklin Park Boro,,Case Terminated,246837.18,MorEquity Inc.
175,0033G00293000000,33G293,2009-02-10,GD-09-002689,Mt. Oliver Boro,,Sheriff Return,137696.1,LaSalle Bank N.A.
176,0181S00063000000,181S63,2009-02-10,GD-09-002737,West Mifflin Boro,,Satisfaction,107237.97,Bank of America National Association
177,0597J00362000000,597J362,2009-02-10,GD-09-002740,Moon Township,,Sheriff Return,146479.47,Suntrust Mortgage Inc.
178,0597J00362000000,597J362,2009-02-10,GD-09-002740,Moon Township,,Sheriff Return,146479.47,Plaintiffs All
179,0611P00320000000,611P320,2009-02-10,GD-09-002746,Ross Township,,Sheriff Return,94091.8,Citimortgage Inc.
180,1223J00266000000,1223J266,2009-02-11,GD-09-002747,Tarentum Boro,,Sheriff Return,58054.87,Deutsche Bank National Trust Company
181,0160M00198000000,160M198,2009-02-11,GD-09-002751,Bellevue Boro,,Sheriff Return,335474.17,Pacific Premier Bank
182,0422D00227000000,422D227,2009-02-11,GD-09-002761,Aleppo Township,,Case Terminated,0.0,Thornburg Mortgage Home Loans Inc.
183,0747B00271000000,747B271,2009-02-11,GD-09-002773,Pitcairn Boro,,Sheriff Return,43249.46,First Commonwealth Bank
184,0060A00272000000,60A272,2009-02-11,GD-09-002774,Pittsburgh,29,Sheriff Return,55005.28,U S Bank National Association
185,0230R00154000000,230R154,2009-02-11,GD-09-002775,Penn Hills Township,,Certificate-Recorder of Deeds,0.0,Fannie Mae
186,0312S00215000000,312S215,2009-02-11,GD-09-002833,West Mifflin Boro,,Sheriff Return,62551.15,Countrywide Home Loans Servicing L.P.
187,0160L00148000000,160L148,2009-02-12,GD-09-002846,Bellevue Boro,,Satisfaction,105115.04,PNC Bank National Association
188,0194F00056000000,194F56,2009-02-12,GD-09-002847,Mt. Lebanon Township,,Certificate-Recorder of Deeds,216812.17,HSBC Bank USA
189,0381S00150000000,381S150,2009-02-12,GD-09-002878,City of McKeesport,9,Sheriff Return,40650.13,Countrywide Home Loans Servicing L.P.
190,0101E00060000000,101E60,2009-02-12,GD-09-002893,Heidelberg Boro,,Discontinued without Prejudice,242904.05,Nationstar Mortgage LLC
191,0698G00250000000,698G250,2009-02-13,GD-09-003010,Coraopolis Boro,,Judgment by Court Order,2728997.23,Stillwater Asset Backed Fund L.P.
192,0698G00250000000,698G250,2009-02-13,GD-09-003010,Coraopolis Boro,,Judgment by Court Order,2728997.23,Net Five at 7700 University LLC
193,0807H00283000000,807H283,2009-02-13,GD-09-003020,Moon Township,,Sheriff Return,147735.18,Wells Fargo Bank N.A.
742,0070E00033000000,70E33,2009-07-09,GD-09-012449,Pittsburgh,28,Sheriff Return,0.0,LaSalle Bank N.A
194,0077J00092000000,77J92,2009-02-13,GD-09-003023,Pittsburgh,26,Discontinued without Prejudice,79125.79,Chase Home Finance LLC
195,0320D00162000000,320D162,2009-02-17,GD-09-003026,Upper St. Clair Twp.,,Sheriff Return,201078.24,Green Tree Consumer Discount Company
196,9905X01834000000,9905X1834,2009-02-18,GD-09-003137,Collier Township,,Certificate-Recorder of Deeds,123820.03,Deutsche Bank National Trust Company
197,0134S00046000000,134S46,2009-02-17,GD-09-003144,Pittsburgh,31,Sheriff Return,162141.16,Countrywide Home Loans Servicing L.P.
198,0082E00268000000,82E268,2009-02-17,GD-09-003150,Pittsburgh,10,Sheriff Return,83915.3,Wells Fargo Bank N.A.
199,0374M00281000000,374M281,2009-02-17,GD-09-003151,Turtle Creek Boro,,Sheriff Return,31114.28,Wells Fargo Bank N.A.
200,0035C00279000000,35C279,2009-02-18,GD-09-003215,Pittsburgh,19,Certificate-Recorder of Deeds,66349.62,Bank of New York Mellon
201,0381P00218000000,381P218,2009-02-18,GD-09-003217,City of McKeesport,11,Sheriff Return,190505.45,Apex Mortgage Corporation
202,0233L00275000000,233L275,2009-02-18,GD-09-003218,Wilkinsburg Boro,,Settled and Discontinued,71426.06,HSBC Bank USA N.A.
203,0297D00002000000,297D2,2009-02-18,GD-09-003266,Penn Hills Township,,Sheriff Return,85463.12,Bank of America N.A.
204,0045H00109000000,45H109,2009-02-18,GD-09-003302,Pittsburgh,26,Sheriff Return,60270.91,Bank of America
205,0131H00310000000,131H310,2009-02-19,GD-09-003314,Homestead Boro,,Sheriff Return,0.0,IB Property Holings LLC
206,0154H00088000000,154H88,2009-02-19,GD-09-003357,Kennedy Township,,Sheriff Return,86765.38,BAC Home Loans Servicing L.P.
207,0283M00159000000,283M159,2009-02-20,GD-09-003378,Shaler Township,,Sheriff Return,67987.93,Wachovia Bank of Delaware
208,1519J00280000000,1519J280,2009-02-20,GD-09-003396,Harrison Township,,Certificate-Recorder of Deeds,26929.19,National City Bank
209,0084F00266000000,84F266,2009-02-20,GD-09-003403,Pittsburgh,7,Sheriff Return,310711.19,Eastern Savings Bank FSB
